City,Lat,Lng,Cloudiness,Humidity,Temperature,Wind Speed
hermanus,-34.42,19.24,24,68,68.87,6.53
kaputa,-8.47,29.66,68,84,73.91,3.29
mpanda,-6.34,31.07,92,89,72.25,2.73
chokurdakh,70.62,147.9,88,61,-20.77,3.51
iqaluit,63.75,-68.52,20,76,-11.21,6.93
bluff,-23.58,149.07,0,33,88.67,3.74
goure,13.98,10.27,0,31,69.32,17.72
hobart,-42.88,147.33,20,61,59,17.22
provideniya,64.42,-173.23,56,100,22.84,2.95
la ronge,55.1,-105.3,90,70,-4.01,10.29
manta,45.1,24.1,0,64,35.21,4.07
mataura,-46.19,168.86,92,37,77.29,17.94
yellowknife,62.45,-114.38,5,74,-23.81,6.93
mehamn,71.03,27.85,20,78,19.4,11.41
punta arenas,-53.16,-70.91,75,81,44.6,10.29
pisco,-13.71,-76.2,0,83,69.8,8.05
blackwater,51.33,-0.78,75,100,46.4,19.46
leshukonskoye,64.9,45.76,64,76,16.54,4.41
bredasdorp,-34.53,20.04,12,53,71.6,10.29
tambacounda,13.77,-13.67,0,19,75.17,13.47
hongjiang,27.21,109.83,76,76,36.97,5.75
georgetown,6.8,-58.16,0,94,71.6,5.19
cape town,-33.93,18.42,20,56,69.8,23.04
puerto ayora,-0.74,-90.35,88,100,74.9,4.85
ponta do sol,-20.63,-46,92,99,66.62,2.17
effingham,39.12,-88.54,1,61,33.8,11.41
vaini,15.34,74.49,0,28,86.24,7.09
nikolskoye,59.7,30.79,40,85,15.8,8.95
bambanglipuro,-7.95,110.28,76,100,75.94,7.43
qaanaaq,77.48,-69.36,44,100,-18.07,5.97
jamestown,-33.21,138.6,88,71,59.78,11.68
komsomolskiy,67.55,63.78,76,85,9.02,8.21
ushuaia,-54.81,-68.31,75,52,42.8,3.36
kapaa,22.08,-159.32,75,68,69.8,10.29
bichura,50.59,107.6,48,53,5.69,7.2
avarua,-21.21,-159.78,90,78,80.6,9.17
longyearbyen,78.22,15.63,20,71,5,11.41
severo-yeniseyskiy,60.37,93.04,68,73,10.1,5.08
port lincoln,-34.72,135.86,92,81,67.79,16.71
aswan,24.09,32.9,0,47,57.2,8.05
albany,42.65,-73.75,75,57,17.6,6.93
atuona,-9.8,-139.03,88,100,81.34,15.48
poum,41.28,20.71,0,69,39.2,0.83
new norfolk,-42.78,147.06,20,38,59,18.34
barrow,-38.31,-60.23,0,76,56,8.21
riachao das neves,-11.75,-44.91,20,94,63.52,2.73
saint-philippe,45.36,-73.48,1,71,10.4,4.7
anadyr,64.73,177.51,75,77,1.4,11.18
yar-sale,66.83,70.83,68,90,9.74,16.26
muros,42.77,-9.06,90,100,37.4,3.36
santa maria,-29.69,-53.81,0,90,63.74,8.21
esperance,10.24,-61.45,40,94,73.4,6.2
carnarvon,-30.97,22.13,8,46,73.69,11.01
torbay,47.66,-52.73,90,100,44.6,25.28
tabuk,17.41,121.44,92,95,67.61,1.95
jalu,29.03,21.55,0,73,55.46,4.63
panama city,30.16,-85.65,1,56,41,4.7
verkhnevilyuysk,63.45,120.31,68,47,-29.14,2.95
ashtian,34.52,50,0,91,26.8,3.29
pangnirtung,66.15,-65.72,36,73,-16.81,6.31
yantal,56.85,105.25,56,59,4.43,6.42
tuktoyaktuk,69.44,-133.03,24,100,-14.81,4.7
ribeira grande,38.52,-28.7,75,66,55.4,8.05
castro,-42.48,-73.76,8,95,41.15,2.51
busselton,-33.64,115.35,0,72,80.03,9.78
mahebourg,-20.41,57.7,40,70,86,12.75
port alfred,-33.59,26.89,32,87,71.57,9.55
port hardy,50.7,-127.42,90,100,33.8,3.36
kotido,3.01,34.12,0,32,86.2,13.02
airai,-8.93,125.41,76,88,73.15,3.18
khatanga,71.98,102.47,64,66,-8.76,3.18
lorengau,-2.02,147.27,68,100,83.32,13.58
chengde,40.97,117.93,0,31,21.8,4.29
zyryanovsk,49.74,84.27,0,73,6.82,2.84
mareeba,-16.99,145.42,75,70,84.2,6.93
pontes e lacerda,-15.23,-59.33,44,95,70.22,2.62
naqadeh,36.96,45.39,0,95,33.05,5.41
upernavik,72.79,-56.15,36,100,-2.14,5.97
binzhou,37.38,117.96,0,45,29.54,3.18
holme,53.7,-2.31,92,80,42.8,17.22
lagoa,37.14,-8.45,0,62,55.4,11.41
rikitea,-23.12,-134.97,24,100,77.42,9.66
butaritari,3.07,172.79,88,100,82.15,15.7
merauke,-8.49,140.4,92,77,86.24,13.24
port loko,8.77,-12.79,0,72,79.31,4.29
soto la marina,23.77,-98.21,0,88,49.39,2.39
ancud,-41.87,-73.83,0,83,40.3,3.51
hilo,19.71,-155.08,90,78,73.4,3.36
havre-saint-pierre,50.23,-63.6,75,84,6.8,25.28
umtata,-31.59,28.78,90,82,66.2,9.17
fuyu,47.79,124.46,20,76,-3.58,3.62
kahului,20.89,-156.47,40,83,71.6,11.41
imeni poliny osipenko,52.42,136.49,0,59,-20.32,3.4
tuatapere,-46.13,167.69,92,100,58.12,13.24
saskylakh,71.97,114.09,48,47,-28.96,3.29
gurlan,41.84,60.39,0,33,28.4,4.7
tacuarembo,-31.73,-55.98,20,94,63.83,7.2
